region,time,y1,y2,x_common1,x_common2,x_specific1_1,x_specific2_1
80,2,1.8983575330022135,-1.3312185463904829,8.06322037924303,6.234018491942015,-0.49,14.5
81,1,0.2983844697018141,-0.7258051807876668,7.882352654117345,6.211202305287359,-1.89,33.8
81,2,1.147406731188316,-0.7639294481430078,7.877586777784322,6.954066181845388,-0.91,35.6
82,1,-0.6422388188010136,0.39047336737671906,7.963251276576619,7.848543482456679,-0.83,63.1
82,2,-0.4576411812542625,0.13885320283146782,8.007466963093547,7.878079547348716,-0.48,60.0
83,1,-0.8583005210292736,-0.35066239001111077,8.074617941331692,5.895228939227156,-0.3,24.9
83,2,-0.5090240288188222,-0.617532261498498,8.087732477751853,6.32936433572038,-0.37,26.3
84,1,-1.2225478182091518,-1.6499374214811338,7.98514393119862,6.819798000222995,0.4,79.4
84,2,-1.1140729177950814,-1.3845925206879601,8.038415179619022,7.118097238459137,0.2,87.5
85,1,0.489960024819061,-0.6754811478786169,7.938053037466373,6.182291496945648,-0.82,24.6
85,2,1.018124949291313,-0.8966018985395948,7.984224202964557,6.426973776564523,-0.61,26.8
86,1,-0.8377473820034493,0.18765226504630442,8.071499662588028,6.220391343177919,-0.93,22.9
86,2,-0.3676894802091445,0.030580283542299677,8.06743130872598,6.750282420157573,-0.07,24.7
87,1,-0.4408941790850725,0.15715285116203168,8.070405963746136,6.046662707572744,-0.45,41.8
87,2,-0.15530704360896463,0.1281784079719723,8.035473192788901,6.80161668292047,-0.52,43.9
88,1,1.0403274142883445,0.03363022493072689,7.942646490092394,5.634432396521408,-1.02,51.2
88,2,1.6519736071494369,-0.10514210824271453,7.9022655190497275,5.725543966437714,-0.51,58.1
89,1,-0.7211527229618929,-0.9804752867213452,8.179536253313266,7.72382780637938,-0.0,58.7
89,2,-0.6298054384026759,-1.0231744661593267,8.208981827711964,7.6803141989662445,-0.07,58.0
90,1,-0.926937855677241,0.8799889602192976,8.077478195108199,7.409560339527045,-0.22,22.8
90,2,-0.7107492822204269,0.8494895463350249,8.130471326125209,7.546710230458656,-0.09,22.1
91,1,-0.7201377531334573,0.003130811046453626,8.038802488793408,7.430173448783935,-0.17,41.0
91,2,-0.800827854494099,-0.1783407015649694,8.076359939470281,7.513763801725319,0.14,41.5
92,1,-0.910698338422269,0.048879931872862985,8.069185860042397,6.846198973283031,0.22,32.5
92,2,-0.7895363151527516,-0.060917958110519047,8.112647660367458,7.008866780350549,0.23,31.7
93,1,-1.2765949615733552,-1.0063997885229767,8.341815470296691,6.826978968954849,0.1,29.4
93,2,-1.0873030885700887,-1.163471770026982,8.378344831597422,7.1372784372603855,-0.04,27.9
94,1,0.1007190956139525,-0.5184091663746115,7.935551606773832,6.095599311839989,-0.54,28.7
94,2,0.5504776008395429,-0.7502047118950851,7.950784383073213,6.536256720437246,-0.57,30.6
95,1,-0.664695026255155,-1.3327435170846962,8.719399071515568,7.2531872569748215,-0.18,32.2
95,2,-0.3810109592073637,-1.5233648538614015,8.782752346780248,7.3364810806648535,0.13,33.9
96,1,-1.069541116572463,-0.019743749366750784,8.093187259602807,7.208970365716502,0.01,36.9
96,2,-0.8204928949200417,-0.33998759515161575,8.175125328437865,7.255026142845575,0.03,39.3
97,1,0.24091180316663957,1.062985443524935,7.956546872666291,6.772965952633498,-0.31,43.2
97,2,0.5429921983548286,0.9836869674258257,7.982791831121541,7.2525499308901535,-0.61,43.7
98,1,-0.10874530272947466,0.253226004897491,7.865955413933502,6.310826956162734,-0.52,12.9
98,2,0.22581412696865788,0.19375214782315886,7.894653578020245,6.7067400797409285,-0.48,12.3
99,1,-0.9464760248746291,1.117884388516626,8.05255116306584,6.720461380561624,-0.33,27.3
99,2,-0.5989757298639403,0.8525394877234521,8.069655306886165,6.874198495453294,-0.24,27.8
100,1,-0.29664159221864195,1.2154825129462992,7.983201289618408,6.261491684321042,-0.15,20.5
100,2,0.05593355193422498,0.948612641458912,8.021978415164394,6.643789733147672,-0.85,22.0
101,1,-0.18867417671878955,1.8498703217391737,7.90713637738839,6.801394262990727,-0.63,30.1
101,2,0.13966856278017453,1.567750743309651,7.951981777123655,7.445884737275473,-0.61,32.5
102,1,-0.7470344535870046,-0.9362511365891492,8.29856443306916,6.855408798609928,0.13,22.0
102,2,-0.5481003672135986,-1.1222975612832138,8.330357461054957,7.021530293240982,0.01,21.1
103,1,-0.08413228438990793,0.8022154548144023,7.9787565339420645,6.994574970934697,-0.45,44.4
103,2,0.33314718632573853,0.7762909530127701,7.991423120264424,7.692752113171961,-0.51,45.3
104,1,-0.7762148361545324,1.6851734867641006,8.024927593171157,6.88847051757027,-0.25,54.4
104,2,-0.41463183477429794,1.3725544944503045,8.088930174632068,7.1165564685804705,-0.38,53.5
105,1,-0.3014626989037118,-0.5809329648373709,8.138272638530186,6.468164456144597,-0.1,23.8
105,2,-0.01968170028423769,-0.9438759900602175,8.153378534563261,6.655440350367647,-0.33,24.1
106,1,-0.8137687198066549,1.787346523276415,7.930278146542992,6.869326252362355,-0.56,50.3
106,2,-0.42376656323021955,1.6790736039872463,7.961649102850869,7.462731750483416,-0.41,51.9
107,1,-1.4199594498399046,-0.2378145586393015,8.19063168090354,6.638698670653521,-0.52,30.9
107,2,-0.765557652955957,-0.3872616866722385,8.183788245844491,6.567234859514355,-0.82,33.4
108,1,-0.25540844293843984,2.5940560205154313,7.9722590980167976,7.257143740869896,-0.48,52.5
108,2,0.15184820072140304,2.3073615300032664,8.006567547652914,7.997293186374539,-0.72,53.1
109,1,-0.012957525170851213,0.04735496117864965,7.940761810552253,6.889591308354466,-0.38,18.6
109,2,0.32325123049848964,0.16172776324467278,7.953458934217067,7.5625253904210785,-0.51,19.3
110,1,0.4702949843931191,0.2120517961537227,7.854148354672736,5.961005339623274,-0.63,28.4
110,2,0.9000078355071024,0.003130811046453626,7.877586777784322,6.173786103901937,-0.7,30.8
111,1,-0.015368078513385902,1.5281015052600955,7.8740925283404275,6.793241892193376,-0.52,14.7
111,2,0.3280723371835599,1.2627566044669225,7.923782742643828,7.320328398549679,-0.34,15.0
112,1,0.12368278798231092,-0.452835426523425,7.878609950846659,6.02707297457535,-0.58,13.6
112,2,0.46991437070745573,-0.7364799756471623,7.91793700227082,6.6912148788015,-0.35,13.8
113,1,0.09462927664333778,0.5810947041534242,7.874358824729881,6.372124536297175,-0.59,24.4
113,2,0.4135835452292715,0.5536452316575787,7.898670992194872,7.01678904000626,-0.75,23.8
114,1,0.4629364531369591,-0.7334300342587351,7.867794917786307,6.0112671744041615,-0.25,17.0
114,2,0.8005407923203994,-0.8173034224404855,7.920192204739806,6.580084198313993,0.18,18.8
