"dgp","paramset","n","rep","seed","selected_pAIC","selected_pBIC","true_model","hit_pAIC","hit_pBIC","n_models_ok","pAIC_1111","pBIC_1111","pAIC_0111","pBIC_0111","pAIC_1011","pBIC_1011","pAIC_1101","pBIC_1101","pAIC_0101","pBIC_0101","pAIC_1001","pBIC_1001","pAIC_0011","pBIC_0011","pAIC_000d","pBIC_000d","pAIC_d0dd","pBIC_d0dd","pAIC_0ddd","pBIC_0ddd","pAIC_dddd","pBIC_dddd"
"1111","weak",100,57,31360768,"1011","1011","1111",0,0,11,115.422558747662,173.056062855762,132.750068111507,185.770758210132,115.341290822762,172.275283311693,284.976329695119,330.818541915311,290.336151475548,334.004716510924,283.776229283317,328.351120517535,136.320914324355,185.795674822576,359.473903554541,392.457077220021,130.533938800471,176.710381932143,146.353591224081,192.530034355754,132.962895322981,185.735973187749
"1111","weak",100,58,31360769,"1111","d0dd","1111",1,0,11,114.899826771804,169.817187559564,115.389685418332,169.900428044848,115.744107233976,169.79613900357,236.00226987156,277.694000270589,243.649637611889,288.239650172747,248.67182398786,292.462838957817,122.313356760944,171.788117259164,298.287326848358,331.270500513838,115.917927931565,162.094371063238,119.014353393923,165.190796525596,115.432637575627,168.205715440395
"1111","weak",100,59,31360770,"1111","1011","1111",1,0,11,102.542888879045,157.152706871008,104.289312810023,157.500639032256,103.339623368198,157.072553497001,285.013405202391,332.874356048102,290.789606851574,330.61874857522,290.485856462048,333.267556013796,108.000596179273,157.475356677494,378.484032303455,411.467205968936,124.069841595585,170.246284727258,126.182781381661,172.359224513333,122.127934833864,174.901012698632
"1111","weak",100,60,31360771,"0111","0ddd","1111",0,0,11,99.1526109792907,159.682861949057,97.8456394331906,153.919044866061,105.780246172795,161.048300007279,274.071601116422,318.036391480824,272.373243862521,313.607958574768,281.037463290904,318.97614088731,113.693325872663,163.168086370883,331.143822943225,364.126996608705,111.68821603849,157.864659170163,106.810697216245,152.987140347918,108.221415188938,160.994493053707
"1111","weak",100,61,31360772,"1011","0011","1111",0,0,11,73.2831868763516,127.778604051949,76.2160517188357,126.388623666316,72.8377305070494,127.630455605919,263.061369171579,301.786726646414,262.46492399953,299.356068745386,263.119391566189,301.382208193723,76.7708117831731,126.245572281394,316.571531963537,349.554705629017,81.1121434555645,127.288586587237,85.8716088406262,132.048051972299,84.4761510591524,137.249228923921
"1111","weak",100,62,31360773,"1011","d0dd","1111",0,0,11,127.012599316412,180.722556399169,131.071341450816,180.860589478943,126.37209476955,180.34725544458,245.180184009452,284.230312998077,245.737833393537,282.542613359065,244.924149401869,283.869679389369,131.042790617216,180.517551115437,284.962151079596,317.945324745076,130.68100708754,176.857450219212,141.18600178073,187.362444912402,134.134534854073,186.907612718841
"1111","weak",100,63,31360774,"1011","1011","1111",0,0,11,126.950363121858,182.826054315837,136.970299382677,186.756143173871,126.288191312588,182.303656747611,283.780534974113,323.644816241106,284.99772659828,321.872416978959,282.743896256676,322.958099013155,136.880740742761,186.355501240981,363.224957073766,396.208130739247,152.803141157758,198.979584289431,167.754280656046,213.930723787719,156.107189721828,208.880267586597
"1111","weak",100,64,31360775,"1111","d0dd","1111",1,0,11,125.838411672834,185.083112409948,130.250777730031,187.773821358348,127.236285859638,185.389123422595,308.443661268901,353.514780672542,306.334949117143,351.70526729708,308.794742350051,353.46964477756,146.864458889772,196.339219387992,379.937370556472,412.920544221952,132.828539338271,179.004982469944,137.181694950081,183.358138081753,131.607945565542,184.38102343031
"1111","weak",100,65,31360776,"1111","d0dd","1111",1,0,11,100.620606830311,158.626635032028,120.364957427044,176.773547464259,101.640014777988,158.577394194761,254.943252777265,302.0203076296,253.063832572699,300.033281573075,260.017570043482,302.286601163824,129.196754094136,178.671514592357,304.034261881301,337.017435546781,101.300031082475,147.476474214148,125.7848269936,171.961270125273,105.256406845525,158.029484710294
"1111","weak",100,66,31360777,"1111","1011","1111",1,0,11,128.860001841188,189.935711236837,138.279118375532,192.388922004907,129.996238999312,188.933599680257,304.585295971473,343.210059330361,305.528371033552,342.169150637046,303.81954884282,342.750903959333,144.358899055137,193.833659553358,371.350840672924,404.334014338404,147.520265595229,193.696708726901,147.952586943406,194.129030075079,146.994473229122,199.767551093891
"1111","weak",100,67,31360778,"0111","0011","1111",0,0,11,160.734005552379,212.642650784817,159.010425401738,210.661904963356,161.049257894501,212.594634742893,278.433184899015,316.566874456327,276.79351252512,314.307830141751,278.701391088242,316.485929925762,161.169777044295,210.644537542515,313.424767221327,346.407940886807,170.016019723793,216.192462855465,167.889966422137,214.06640955381,169.568347656123,222.341425520892
"1111","weak",100,68,31360779,"1011","1011","1111",0,0,11,126.055770078834,182.25463951191,137.853200006519,189.498749456709,125.339516678841,181.368602887691,250.491171902746,291.766487237259,257.734401574652,294.41127222771,249.269172045445,290.814168800869,139.98720328513,189.46196378335,308.970392306446,341.953565971927,151.997067003194,198.173510134867,157.36318236851,203.539625500182,152.480609800809,205.253687665578
